ลำดับ,TC_ID,โมดูล,หมวดฟีเจอร์,ความสำคัญ,ประเภท,เงื่อนไขก่อนทดสอบ,ขั้นตอนทดสอบ,ผลที่คาดหวัง,ข้อมูลทดสอบ,ผลจริง,Pass_Fail,ผู้ทดสอบ,วันที่ทดสอบ,หมายเหตุ
34,UI-01,UI,ConfirmDialog,Medium,Manual / UI,trigger ลบหรือปฏิเสธ,ดูกล่องยืนยัน,ไม่ใช้เฉพาะ window.confirm แบบเบราว์เซอร์,-,,,,,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
